CoC Number,Year,County,CoC_Category_Largely Rural CoC,CoC_Category_Major City CoC,CoC_Category_Other Largely Urban CoC,Median_House_Values_5_year_lag1,Median_Rent_5_year_lag1,Median_Gross_Rent_5_year_lag1,Percentage_of_Households_with_Cost_Burden_5_year_lag1,Rental_Vacancy_Rates_5_year_lag1,Share_of_Single_Person_Households_5_year_lag1,Share_of_Renter_Occupied_Units_5_year_lag1,Unemployment Rate_lag1,Median Household Income_lag1,Poverty Rate_lag1,Labor Force_lag1,pct_change_total_homeless_per_10k,total_homeless_per_10k,total_homeless_per_10k_lag1
CA-608,2014,riverside county,0.0,0.0,0.0,231000.0,1015.0,1384.0,0.5771287643918159,73.0,0.0,0.33,10.0,54095.0,17.3,993023.0,-0.2053998630163025,10.046479793106894,12.643440801864616
CA-608,2015,riverside county,0.0,0.0,0.0,236400.0,1027.0,1361.0,0.5795251274089575,71.0,0.0,0.34,8.3,57006.0,17.1,1009162.0,-0.0974801368999197,9.067147567512556,10.046479793106894
CA-608,2016,riverside county,0.0,0.0,0.0,253200.0,1027.0,1334.0,0.5698821177359779,64.0,0.0,0.35,6.7,58292.0,16.2,1033458.0,0.0950245353316989,9.92874905189938,9.067147567512556
CA-608,2017,riverside county,0.0,0.0,0.0,276300.0,1062.0,1347.0,0.5641766882516188,57.0,0.0,0.36,6.1,60134.0,15.3,1051610.0,-0.0482046209169273,9.450137467673269,9.92874905189938
CA-608,2018,riverside county,0.0,0.0,0.0,304500.0,1104.0,1387.0,0.563566539,56.0,0.21,0.35,5.3,63944.0,12.9,1070876.0,0.204009115452648,11.378051653359218,9.450137467673269
CA-609,2012,san bernardino county,0.0,0.0,0.0,278400.0,959.0,1329.0,0.5578950316996424,70.0,0.0,0.36,5.5,51247.0,19.3,321393.5,-0.0864313620520492,11.113925638691592,12.165397515895014
CA-609,2013,san bernardino county,0.0,0.0,0.0,241500.0,963.0,1307.0,0.5679488508103578,69.0,0.0,0.37,11.6,50770.0,20.4,890518.0,-0.0140331183644554,10.957962604710078,11.113925638691592
CA-609,2014,san bernardino county,0.0,0.0,0.0,222300.0,965.0,1272.0,0.5679022541357698,70.0,0.0,0.38,9.9,52323.0,19.1,893610.0,-0.0784734857674898,10.098053082208676,10.957962604710078
CA-609,2015,san bernardino county,0.0,0.0,0.0,225400.0,972.0,1255.0,0.5704165474045763,66.0,0.0,0.39,8.1,52041.0,20.6,903649.0,-0.1268255977289774,8.817361464158617,10.098053082208676
CA-609,2016,san bernardino county,0.0,0.0,0.0,236700.0,975.0,1233.0,0.5682273991065772,58.0,0.0,0.4,6.5,53803.0,19.0,919308.0,-0.0190620990081824,8.649284046937893,8.817361464158617
CA-609,2017,san bernardino county,0.0,0.0,0.0,256000.0,991.0,1245.0,0.5632573634476171,56.0,0.0,0.41,5.8,56337.0,17.7,930242.0,0.1276267323482007,9.753163907,8.649284046937893
CA-609,2018,san bernardino county,0.0,0.0,0.0,280200.0,1032.0,1278.0,0.5554061333868108,49.0,0.19,0.41,5.0,60420.0,16.2,942048.0,0.226089241228923,11.958249334314948,9.753163907
CA-611,2012,ventura county,0.0,0.0,1.0,515900.0,1339.0,1801.0,0.535137639,39.0,0.0,0.34,5.5,74623.0,11.3,321393.5,-0.1346081460527205,19.93759081489245,23.038801121078112
CA-611,2013,ventura county,0.0,0.0,1.0,465600.0,1356.0,1793.0,0.5499028746920748,38.0,0.0,0.35,9.2,71517.0,11.5,433668.0,-0.1535646376071546,16.875881906643755,19.93759081489245
CA-611,2014,ventura county,0.0,0.0,1.0,442200.0,1381.0,1780.0,0.5610757873175728,38.0,0.0,0.35,8.0,77363.0,11.9,432345.0,-0.0127874397687439,16.660082583218113,16.875881906643755
CA-611,2015,ventura county,0.0,0.0,1.0,444800.0,1401.0,1769.0,0.5589125136566098,37.0,0.0,0.36,6.7,75449.0,11.3,429179.0,-0.1021922282149477,14.95755162179401,16.660082583218113
CA-611,2016,ventura county,0.0,0.0,1.0,458100.0,1416.0,1752.0,0.5636052303860523,33.0,0.0,0.36,5.7,80032.0,9.6,427235.0,-0.0983858725606369,13.485939854113036,14.95755162179401
CA-611,2017,ventura county,0.0,0.0,1.0,481400.0,1468.0,1770.0,0.5611968190451041,34.0,0.0,0.37,5.2,80135.0,9.5,425346.0,0.1397610380308518,15.37074880694551,13.485939854113036
CA-611,2018,ventura county,0.0,0.0,1.0,520300.0,1540.0,1820.0,0.5530653731583608,35.0,0.21,0.37,4.5,82857.0,9.3,423676.0,0.2834763433224689,19.727992472866624,15.37074880694551
CA-614,2012,san luis obispo county,0.0,0.0,0.0,480200.0,1065.0,1358.0,0.5580577232751146,43.0,0.0,0.4,5.5,54195.0,15.3,321393.5,0.1005287024184655,85.26169951852641,77.47339922271874
CA-614,2013,san luis obispo county,0.0,0.0,0.0,449300.0,1101.0,1382.0,0.5468033186920449,41.0,0.0,0.4,8.4,60264.0,13.7,137013.0,-0.0056772586989466,84.77764679324788,85.26169951852641
CA-614,2014,san luis obispo county,0.0,0.0,0.0,426600.0,1104.0,1355.0,0.5462993459746859,38.0,0.0,0.42,6.9,58158.0,15.3,137727.0,-0.3649533360922692,53.83776177,84.77764679324788
CA-614,2015,san luis obispo county,0.0,0.0,0.0,426200.0,1124.0,1355.0,0.5396681328399544,34.0,0.0,0.42,5.6,63474.0,14.8,139919.0,-0.1017729886592779,48.35853185194088,53.83776177
CA-614,2016,san luis obispo county,0.0,0.0,0.0,445700.0,1137.0,1360.0,0.5384615384615384,27.0,0.0,0.42,4.8,62648.0,14.9,138913.0,-0.1791346817229203,39.69584164005575,48.35853185194088
CA-614,2017,san luis obispo county,0.0,0.0,0.0,471800.0,1151.0,1380.0,0.5177886863020102,26.0,0.0,0.41,4.3,70564.0,10.6,139484.0,-0.0287400678379869,38.55498045843456,39.69584164005575
CA-614,2018,san luis obispo county,0.0,0.0,0.0,499800.0,1213.0,1443.0,0.510216232,28.0,0.26,0.4,3.6,71880.0,12.1,140250.0,0.3586385087450332,52.38228115474143,38.55498045843456
FL-501,2012,hillsborough county,0.0,0.0,0.0,185900.0,791.0,1095.0,0.5322765579315485,114.0,0.0,0.38,5.5,46761.0,17.7,321393.5,-0.7454433491048378,14.780369439553786,58.06318313655453
FL-501,2013,hillsborough county,0.0,0.0,0.0,170000.0,801.0,1078.0,0.5355300136126114,103.0,0.0,0.39,8.1,46515.0,19.2,664074.0,-0.0007900508685786,14.768692195840153,14.780369439553786
FL-501,2014,hillsborough county,0.0,0.0,0.0,160000.0,812.0,1062.0,0.5275116633317588,94.0,0.0,0.4,6.9,49597.0,16.8,671504.0,-0.0308027162232591,14.313776361143027,14.768692195840153
FL-501,2015,hillsborough county,0.0,0.0,0.0,156700.0,820.0,1039.0,0.5217789391383071,86.0,0.0,0.41,6.0,50796.0,16.8,681695.0,-0.0776257831591911,13.202658261143783,14.313776361143027
FL-501,2016,hillsborough county,0.0,0.0,0.0,159200.0,831.0,1021.0,0.5158504011536574,77.0,0.0,0.42,5.1,51725.0,15.7,692032.0,-0.1670616956009243,10.996999785597552,13.202658261143783
FL-501,2017,hillsborough county,0.0,0.0,0.0,167400.0,858.0,1033.0,0.503450224,69.0,0.0,0.42,4.5,54588.0,15.1,709538.0,0.1359711935598686,12.492274972022871,10.996999785597552
FL-501,2018,hillsborough county,0.0,0.0,0.0,179500.0,890.0,1063.0,0.494917772,68.0,0.29,0.42,4.0,54731.0,15.6,718852.0,-0.1026868336548589,11.20948281,12.492274972022871
FL-502,2012,pinellas county,0.0,0.0,1.0,172900.0,772.0,993.0,0.5288560800956954,118.0,0.0,0.3,5.5,42852.0,14.7,321393.5,-0.0228036511320811,42.11838354961208,43.101249404386536
FL-502,2013,pinellas county,0.0,0.0,1.0,161600.0,787.0,988.0,0.5254169727853938,113.0,0.0,0.32,8.2,44927.0,13.7,463951.0,-0.1417617138837219,36.14760931160711,42.11838354961208
FL-502,2014,pinellas county,0.0,0.0,1.0,151500.0,793.0,972.0,0.5244178951570986,100.0,0.0,0.33,6.9,43703.0,15.0,468883.0,-0.0135135912876919,35.65912529334289,36.14760931160711
FL-502,2015,pinellas county,0.0,0.0,1.0,146500.0,795.0,964.0,0.5230338655020829,88.0,0.0,0.35,5.9,45152.0,15.1,470895.0,-0.1894051474015223,28.905103410947923,35.65912529334289
FL-502,2016,pinellas county,0.0,0.0,1.0,150200.0,800.0,946.0,0.5104403934981137,82.0,0.0,0.35,5.0,47618.0,13.5,472466.0,0.0090402716053386,29.16641339656329,28.905103410947923
FL-502,2017,pinellas county,0.0,0.0,1.0,157500.0,819.0,952.0,0.5031223240951526,70.0,0.0,0.35,4.4,50036.0,13.3,479772.0,-0.0817502320376304,26.78205233368879,29.16641339656329
FL-502,2018,pinellas county,0.0,0.0,1.0,167100.0,851.0,970.0,0.5019576191386476,75.0,0.37,0.35,3.9,51512.0,12.0,480350.0,-0.0751518188974768,24.769332387004663,26.78205233368879
FL-503,2012,polk county,0.0,0.0,0.0,133200.0,664.0,863.0,0.510429604,109.0,0.0,0.28,5.5,40272.0,19.4,321393.5,-0.4162522679352908,8.346588893579387,14.298280635810944
FL-503,2013,polk county,0.0,0.0,0.0,120200.0,665.0,863.0,0.5136360120658984,105.0,0.0,0.29,9.9,41325.0,17.9,275402.0,0.0118815887166672,8.44575963,8.346588893579387
FL-503,2014,polk county,0.0,0.0,0.0,111400.0,670.0,840.0,0.5025360301849446,104.0,0.0,0.29,8.6,42435.0,19.4,278126.0,-0.1549071217667169,7.137451314583167,8.44575963
FL-503,2015,polk county,0.0,0.0,0.0,107100.0,682.0,834.0,0.5003427106925736,94.0,0.0,0.3,7.4,42780.0,18.1,278128.0,0.3355470307176282,9.53240191008318,7.137451314583167
FL-503,2016,polk county,0.0,0.0,0.0,107300.0,687.0,822.0,0.4897675429067999,86.0,0.0,0.31,6.4,44061.0,17.2,281059.0,-0.2175838088150351,7.4583055953315665,9.53240191008318
FL-503,2017,polk county,0.0,0.0,0.0,110400.0,707.0,823.0,0.4758648713026664,78.0,0.0,0.32,5.6,46355.0,16.4,287843.0,0.0453461529090732,7.796511061300068,7.4583055953315665
FL-503,2018,polk county,0.0,0.0,0.0,121100.0,725.0,839.0,0.4710504721770212,73.0,0.26,0.32,4.9,48475.0,16.0,291121.0,-0.0036688871567248,7.767906542,7.796511061300068
FL-513,2012,brevard county,0.0,0.0,0.0,171200.0,762.0,997.0,0.5138806851742469,157.0,0.0,0.25,5.5,46429.0,14.0,321393.5,-0.2449090379991891,28.448340029374226,37.67538145866945
FL-513,2013,brevard county,0.0,0.0,0.0,157200.0,750.0,978.0,0.5127935943060499,146.0,0.0,0.25,9.7,46162.0,14.7,261046.0,-0.0676949321282468,26.52253158192445,28.448340029374226
FL-513,2014,brevard county,0.0,0.0,0.0,144900.0,756.0,940.0,0.5168178933465978,132.0,0.0,0.26,8.7,46472.0,15.0,258158.0,-0.2885175456095479,18.870315866555888,26.52253158192445
FL-513,2015,brevard county,0.0,0.0,0.0,138500.0,763.0,915.0,0.5056043920133328,120.0,0.0,0.28,7.2,47907.0,14.4,257569.0,-0.2432537509300492,14.280040750781346,18.870315866555888
FL-513,2016,brevard county,0.0,0.0,0.0,142200.0,772.0,892.0,0.4978063576033071,114.0,0.0,0.28,6.0,50416.0,13.2,257457.0,0.0043672301437451,14.342404975202069,14.280040750781346
FL-513,2017,brevard county,0.0,0.0,0.0,150500.0,789.0,894.0,0.4893369217936005,109.0,0.0,0.28,5.2,51184.0,15.0,263418.0,-0.142548413596251,12.297917898832036,14.342404975202069
FL-513,2018,brevard county,0.0,0.0,0.0,162400.0,819.0,910.0,0.4905432153067957,103.0,0.3,0.28,4.4,52540.0,12.3,266773.0,0.1009595740152824,13.539510451173037,12.297917898832036
FL-514,2012,marion county,0.0,0.0,0.0,142000.0,633.0,781.0,0.5328389099689548,138.0,0.0,0.22,5.5,36255.0,17.2,321393.5,-0.4220794242584346,15.71012740024069,27.18388660947408
FL-514,2013,marion county,0.0,0.0,0.0,130900.0,631.0,773.0,0.5497615057367539,119.0,0.0,0.23,10.5,37098.0,18.3,129686.0,0.7228576049056037,27.066312465540573,15.71012740024069
FL-514,2014,marion county,0.0,0.0,0.0,119400.0,625.0,748.0,0.532487505,107.0,0.0,0.23,8.9,38695.0,19.5,130783.0,-0.1529090648561942,22.92762793732921,27.066312465540573
FL-514,2015,marion county,0.0,0.0,0.0,111500.0,632.0,735.0,0.4995481317585465,103.0,0.0,0.24,7.5,39958.0,17.4,131442.0,0.0284670812164058,23.580310583920696,22.92762793732921
FL-514,2016,marion county,0.0,0.0,0.0,111000.0,622.0,708.0,0.478005321,93.0,0.0,0.24,6.6,40050.0,18.8,130698.0,-0.1323344156966254,20.4598239608526,23.580310583920696
FL-514,2017,marion county,0.0,0.0,0.0,114400.0,639.0,701.0,0.4658998768731793,89.0,0.0,0.25,5.9,39383.0,17.6,132466.0,-0.2233606649007175,15.889904077204932,20.4598239608526
FL-514,2018,marion county,0.0,0.0,0.0,119200.0,653.0,704.0,0.4422110552763819,96.0,0.3,0.25,5.1,43910.0,16.1,132717.0,-0.1823054680364592,12.993087677355646,15.889904077204932
FL-519,2012,pasco county,0.0,0.0,0.0,145100.0,726.0,908.0,0.5265618359541011,131.0,0.0,0.22,5.5,40766.0,15.7,321393.5,-0.2485691235165104,69.50549104,92.49751802224108
FL-519,2013,pasco county,0.0,0.0,0.0,131200.0,730.0,892.0,0.5252404724217704,127.0,0.0,0.22,9.3,42704.0,12.8,207412.0,-0.0051335073058672,69.14868409394826,69.50549104
FL-519,2014,pasco county,0.0,0.0,0.0,120000.0,740.0,876.0,0.5122047979090825,115.0,0.0,0.23,8.0,45678.0,13.1,209918.0,-0.7040350463157785,20.465587085190265,69.14868409394826
FL-519,2015,pasco county,0.0,0.0,0.0,115700.0,750.0,862.0,0.5121967198794523,102.0,0.0,0.25,6.9,45349.0,14.6,212730.0,0.0061118266872526,20.590669206507823,20.465587085190265
FL-519,2016,pasco county,0.0,0.0,0.0,117800.0,757.0,835.0,0.5006038523734468,92.0,0.0,0.26,5.9,46133.0,14.6,216242.0,1.3957481963886376,49.33005861392618,20.590669206507823
FL-519,2017,pasco county,0.0,0.0,0.0,122100.0,773.0,839.0,0.4949836677554829,82.0,0.0,0.27,5.2,46264.0,13.2,223250.0,0.0022547151135015,49.44128384263291,49.33005861392618
FL-519,2018,pasco county,0.0,0.0,0.0,134300.0,796.0,864.0,0.4903711516429961,77.0,0.27,0.28,4.5,51347.0,13.1,226509.0,-0.6735778924222231,16.138728073263326,49.44128384263291
FL-600,2012,miami-dade county,0.0,1.0,0.0,246800.0,913.0,1242.0,0.6144953871560367,91.0,0.0,0.42,5.5,40552.0,20.9,321393.5,-0.0533137109189937,14.527108608668277,15.345219188471017
FL-600,2013,miami-dade county,0.0,1.0,0.0,221900.0,934.0,1229.0,0.6125252672307115,90.0,0.0,0.43,7.9,41400.0,20.8,1287313.0,0.0743498762788177,15.607197336411712,14.527108608668277
FL-600,2014,miami-dade county,0.0,1.0,0.0,201000.0,949.0,1211.0,0.6112849927278978,86.0,0.0,0.44,7.6,41913.0,21.0,1272817.0,-0.012181394315767,15.417079911492891,15.607197336411712
FL-600,2015,miami-dade county,0.0,1.0,0.0,194100.0,962.0,1198.0,0.6158935987150015,77.0,0.0,0.45,6.8,42926.0,20.4,1298195.0,0.0125356005188157,15.610342266430024,15.417079911492891
FL-600,2016,miami-dade county,0.0,1.0,0.0,203300.0,977.0,1188.0,0.6179252915929283,70.0,0.0,0.46,6.1,43786.0,20.0,1295273.0,-0.1337744096866767,13.522077944731368,15.610342266430024
FL-600,2017,miami-dade county,0.0,1.0,0.0,221100.0,1000.0,1200.0,0.6139102484855977,64.0,0.0,0.47,5.5,45935.0,18.3,1305259.0,-0.058440769364191,12.731837306238708,13.522077944731368
FL-600,2018,miami-dade county,0.0,1.0,0.0,242800.0,1060.0,1236.0,0.6135644611702309,63.0,0.26,0.48,4.8,49930.0,16.6,1348920.0,0.00371077972657,12.779082349996688,12.731837306238708
FL-601,2012,broward county,0.0,0.0,0.0,225300.0,1012.0,1331.0,0.5840854747705772,109.0,0.0,0.32,5.5,48880.0,14.8,321393.5,-0.1285665951177336,15.28133979826456,17.53586643873162
FL-601,2013,broward county,0.0,0.0,0.0,199900.0,1027.0,1307.0,0.5824907972654731,104.0,0.0,0.33,8.2,49793.0,15.1,957268.0,-0.031662304008185,14.79749737191953,15.28133979826456
FL-601,2014,broward county,0.0,0.0,0.0,181500.0,1029.0,1281.0,0.584811647,96.0,0.0,0.34,7.1,50446.0,15.1,971733.0,-0.0681462659251985,13.789103180985274,14.79749737191953
FL-601,2015,broward county,0.0,0.0,0.0,177300.0,1044.0,1255.0,0.5747144388819005,85.0,0.0,0.35,6.1,51608.0,14.4,985640.0,-0.1257822615770796,12.054678597761244,13.789103180985274
FL-601,2016,broward county,0.0,0.0,0.0,185900.0,1061.0,1239.0,0.5780010057524132,79.0,0.0,0.36,5.2,53926.0,13.9,992033.0,0.0498625987309988,12.655756199512574,12.054678597761244
FL-601,2017,broward county,0.0,0.0,0.0,202300.0,1094.0,1251.0,0.5750297246183678,73.0,0.0,0.37,4.5,54212.0,13.5,1007259.0,-0.0613359397078225,11.879503500302368,12.655756199512574
FL-601,2018,broward county,0.0,0.0,0.0,223400.0,1140.0,1279.0,0.5775893165208118,74.0,0.29,0.38,4.0,56842.0,13.1,1014014.0,0.2082920950973787,14.353910173096994,11.879503500302368
FL-603,2012,lee county,0.0,0.0,0.0,181000.0,794.0,1055.0,0.5386991079687083,185.0,0.0,0.26,5.5,45266.0,15.3,321393.5,0.0598020650772121,12.82681530444779,12.10302916659564
FL-603,2013,lee county,0.0,0.0,0.0,161400.0,774.0,996.0,0.5200689009993614,164.0,0.0,0.28,9.1,46278.0,15.3,290468.0,-0.000686984441049,12.818003481905423,12.82681530444779
FL-603,2014,lee county,0.0,0.0,0.0,149400.0,780.0,966.0,0.5211839731844845,147.0,0.0,0.29,7.6,46383.0,16.5,298348.0,-0.3176267246145807,8.746663019849512,12.818003481905423
FL-603,2015,lee county,0.0,0.0,0.0,150000.0,776.0,940.0,0.5082832720247704,123.0,0.0,0.31,6.2,49055.0,16.3,309859.0,-0.3051631137470597,6.077504097815974,8.746663019849512
FL-603,2016,lee county,0.0,0.0,0.0,157400.0,790.0,926.0,0.4972544,107.0,0.0,0.31,5.2,50651.0,16.4,320586.0,-0.0406524928390851,5.830438406,6.077504097815974
FL-603,2017,lee county,0.0,0.0,0.0,171100.0,821.0,939.0,0.489820628,90.0,0.0,0.31,4.7,52909.0,12.9,330398.0,0.6546555923508641,9.647367514345158,5.830438406
FL-603,2018,lee county,0.0,0.0,0.0,190200.0,862.0,966.0,0.4822839088241932,88.0,0.28,0.3,4.2,53928.0,11.6,332639.0,-0.4995991087426467,4.8275513024655545,9.647367514345158
FL-605,2012,palm beach county,0.0,0.0,0.0,236600.0,988.0,1247.0,0.566665969,106.0,0.0,0.27,5.5,48953.0,15.9,321393.5,-0.2716226701666042,11.361557706728972,15.598450475288324
FL-605,2013,palm beach county,0.0,0.0,0.0,216200.0,999.0,1230.0,0.562346823,104.0,0.0,0.28,8.8,51278.0,14.3,656413.0,0.0050274785354136,11.418677694228416,11.361557706728972
FL-605,2014,palm beach county,0.0,0.0,0.0,199700.0,994.0,1203.0,0.5684981201767694,95.0,0.0,0.29,7.5,51804.0,14.9,670585.0,-0.1253430237643081,9.987426104643768,11.418677694228416
FL-605,2015,palm beach county,0.0,0.0,0.0,194600.0,1011.0,1183.0,0.5652727134609541,85.0,0.0,0.3,6.0,52203.0,14.8,683721.0,-0.0762794609798755,9.225590624805204,9.987426104643768
FL-605,2016,palm beach county,0.0,0.0,0.0,204700.0,1026.0,1170.0,0.5633980276707615,77.0,0.0,0.31,5.2,56664.0,13.5,693582.0,0.1840355478845718,10.92342725,9.225590624805204
FL-605,2017,palm beach county,0.0,0.0,0.0,222700.0,1062.0,1184.0,0.5600989273014502,76.0,0.0,0.31,4.7,57580.0,12.5,711609.0,-0.19354681763881,8.809232668053442,10.92342725
FL-605,2018,palm beach county,0.0,0.0,0.0,242500.0,1115.0,1215.0,0.5633886047953942,78.0,0.31,0.31,4.2,60057.0,11.7,716528.0,0.0595055975716447,9.333431322113617,8.809232668053442
FL-606,2012,collier county,0.0,0.0,0.0,317200.0,891.0,1213.0,0.5378591903796406,142.0,0.0,0.24,5.5,50564.0,17.0,321393.5,-0.1481587044043985,11.65933541788118,13.68721553905068
FL-606,2013,collier county,0.0,0.0,0.0,280700.0,885.0,1168.0,0.5276447540269917,137.0,0.0,0.25,8.7,54126.0,13.8,151770.0,-0.1122604523302273,10.35045315,11.65933541788118
FL-606,2014,collier county,0.0,0.0,0.0,261300.0,881.0,1119.0,0.5174143390074925,128.0,0.0,0.26,7.4,54406.0,12.8,155187.0,0.0518435394296428,10.887057275996696,10.35045315
FL-606,2015,collier county,0.0,0.0,0.0,258400.0,889.0,1098.0,0.5167041111078692,123.0,0.0,0.27,6.1,58026.0,14.5,159799.0,0.3709806996307128,14.925945401165594,10.887057275996696
FL-606,2016,collier county,0.0,0.0,0.0,272800.0,918.0,1104.0,0.5087816346286821,109.0,0.0,0.28,5.3,62126.0,14.2,164330.0,0.1157853671594668,16.654151469641707,14.925945401165594
FL-606,2017,collier county,0.0,0.0,0.0,291900.0,975.0,1129.0,0.5051222913537867,108.0,0.0,0.28,4.7,61228.0,11.4,169758.0,0.0359494312670014,17.252858743209824,16.654151469641707
FL-606,2018,collier county,0.0,0.0,0.0,316200.0,1032.0,1172.0,0.5060118939413613,106.0,0.27,0.28,4.2,66048.0,12.1,171952.0,-0.2500745222608045,12.938358335368484,17.252858743209824
GA-500,2014,dekalb county,0.0,0.0,0.0,238200.0,802.0,1179.0,0.4829669585494974,119.0,0.0,0.46,8.0,55914.0,17.6,507565.0,0.9441287641730368,9.307756055144372,4.787623241150675
GA-500,2014,fulton county,0.0,0.0,0.0,163600.0,795.0,1112.0,0.5230625085957915,111.0,0.0,0.44,7.3,50542.0,20.1,368198.0,-0.4971329441248551,4.680563884254504,9.307756055144372
GA-500,2015,dekalb county,0.0,0.0,0.0,237600.0,812.0,1173.0,0.483905416,105.0,0.0,0.47,7.1,55807.0,16.8,508619.0,0.3650321954935767,6.389120395071868,4.680563884254504
GA-500,2015,fulton county,0.0,0.0,0.0,163000.0,806.0,1105.0,0.5166434057347251,94.0,0.0,0.45,6.1,54057.0,17.3,368863.0,-0.2612664786880089,4.719857407537701,6.389120395071868
GA-500,2016,dekalb county,0.0,0.0,0.0,241300.0,821.0,1158.0,0.4727009926911749,91.0,0.0,0.48,6.1,60291.0,15.3,508815.0,0.2938623733137659,6.106845907019288,4.719857407537701
GA-500,2016,fulton county,0.0,0.0,0.0,168100.0,828.0,1110.0,0.5116754442921386,80.0,0.0,0.46,5.5,56109.0,17.3,382731.0,-0.5392943973106362,2.8134581241243954,6.106845907019288
GA-500,2017,dekalb county,0.0,0.0,0.0,252700.0,854.0,1173.0,0.4715741499930785,81.0,0.0,0.49,5.5,63510.0,15.6,531124.0,0.508072946108084,4.242900082,2.8134581241243954
GA-500,2017,fulton county,0.0,0.0,0.0,176000.0,865.0,1132.0,0.5004614013873863,65.0,0.33,0.46,4.8,61827.0,14.8,399020.0,-0.5017426412764433,2.114056188185282,4.242900082
GA-500,2018,dekalb county,0.0,0.0,0.0,268900.0,902.0,1210.0,0.4709262997823864,79.0,0.38,0.49,4.9,65037.0,14.2,554157.0,1.336162550643841,4.938778896795325,2.114056188185282
GA-500,2018,fulton county,0.0,0.0,0.0,192400.0,914.0,1172.0,0.4983650732368398,61.0,0.33,0.46,4.1,64461.0,13.8,398974.0,0.202767216479923,5.940201346508299,4.938778896795325
GA-503,2012,clarke county,0.0,0.0,1.0,161100.0,597.0,825.0,0.5206655692485652,156.0,0.01,0.54,5.5,28843.0,39.6,321393.5,-0.414833039474341,17.56483733971055,30.01679610197396
GA-503,2013,clarke county,0.0,0.0,1.0,161100.0,606.0,838.0,0.5184755444484113,170.0,0.01,0.55,8.6,32571.0,33.9,57948.0,0.1627598807661274,20.42368817079826,17.56483733971055
GA-503,2014,clarke county,0.0,0.0,1.0,156600.0,619.0,842.0,0.5291760041372178,161.0,0.01,0.56,7.8,31551.0,37.7,57805.0,-0.1069805841052667,18.238750080702435,20.42368817079826
GA-503,2015,clarke county,0.0,0.0,1.0,152700.0,626.0,840.0,0.5376788816279262,143.0,0.01,0.57,7.0,29996.0,39.5,56136.0,-0.0151680849646085,17.96210316983008,18.238750080702435
GA-503,2016,clarke county,0.0,0.0,1.0,150300.0,634.0,832.0,0.5373735808114077,116.0,0.01,0.6,6.2,31284.0,38.6,56485.0,0.047172410584992,18.80941887552729,17.96210316983008
GA-503,2017,clarke county,0.0,0.0,1.0,152300.0,645.0,835.0,0.5356521739130434,82.0,0.01,0.61,5.6,34999.0,27.7,58767.0,-0.114823768634658,16.649650514411373,18.80941887552729
GA-503,2018,clarke county,0.0,0.0,1.0,154600.0,663.0,845.0,0.5432727783829369,67.0,0.35,0.61,4.8,39825.0,27.0,61504.0,0.1092045584362253,18.46786824695514,16.649650514411373
GA-504,2012,richmond county,0.0,0.0,1.0,101700.0,550.0,790.0,0.464392351,105.0,0.0,0.43,5.5,38928.0,23.1,321393.5,0.2054952979246183,23.56400647515136,19.547157517510996
GA-504,2013,richmond county,0.0,0.0,1.0,102500.0,567.0,798.0,0.4864679897965532,98.0,0.0,0.44,10.5,37154.0,26.4,88115.0,-0.0052764302256599,23.439672639148224,23.56400647515136
GA-504,2014,richmond county,0.0,0.0,1.0,100900.0,582.0,803.0,0.5051389649090798,96.0,0.0,0.45,9.8,35649.0,26.8,86594.0,-0.1395279455276664,20.169183271966816,23.439672639148224
GA-504,2015,richmond county,0.0,0.0,1.0,100400.0,596.0,814.0,0.4979577233833219,106.0,0.0,0.47,8.7,35793.0,24.9,84527.0,-0.2943297327344697,14.232792950056286,20.169183271966816
GA-504,2016,richmond county,0.0,0.0,1.0,101900.0,602.0,809.0,0.508410104,101.0,0.0,0.47,7.5,41672.0,23.1,83351.0,-0.1435070083533908,12.190287413280476,14.232792950056286
GA-504,2017,richmond county,0.0,0.0,1.0,100600.0,613.0,804.0,0.4974402233986852,89.0,0.0,0.47,6.8,41419.0,25.2,84842.0,0.0948305648848286,13.34629925479028,12.190287413280476
GA-504,2018,richmond county,0.0,0.0,1.0,100200.0,629.0,816.0,0.504789696,99.0,0.34,0.47,6.0,37324.0,23.0,86817.0,0.4207142485035338,18.961277516072645,13.34629925479028
GA-506,2012,cobb county,0.0,0.0,0.0,210100.0,786.0,1237.0,0.4829236485322704,112.0,0.0,0.31,5.5,57906.0,12.6,321393.5,0.2455918165311272,6.901936725275032,5.541090294328016
GA-506,2013,cobb county,0.0,0.0,0.0,203000.0,798.0,1226.0,0.4839873703202526,104.0,0.0,0.32,7.6,63069.0,13.6,387385.0,0.0366320372654325,7.154768728598965,6.901936725275032
GA-506,2014,cobb county,0.0,0.0,0.0,196700.0,803.0,1202.0,0.4795981065950571,98.0,0.0,0.34,6.6,63086.0,13.5,388328.0,-0.2175824598461627,5.598016549,7.154768728598965
GA-506,2015,cobb county,0.0,0.0,0.0,194900.0,814.0,1188.0,0.4772587617641034,83.0,0.0,0.35,5.9,67043.0,12.8,392834.0,-0.0329873286615742,5.413352937245205,5.598016549
GA-506,2016,cobb county,0.0,0.0,0.0,197400.0,830.0,1163.0,0.4662865333084066,70.0,0.0,0.36,5.2,70246.0,11.1,393682.0,-0.0149500603387273,5.332422984198562,5.413352937245205
