CoC Number,County,Year,CoC_Category_Largely Rural CoC,CoC_Category_Largely Rural CoC,CoC_Category_Major City CoC,CoC_Category_Other Largely Urban CoC,Median_House_Values_5_year_lag1,Median_Rent_5_year_lag1,Median_Gross_Rent_5_year_lag1,Percentage_of_Households_with_Cost_Burden_5_year_lag1,Rental_Vacancy_Rates_5_year_lag1,Share_of_Single_Person_Households_5_year_lag1,Share_of_Renter_Occupied_Units_5_year_lag1,Unemployment Rate_lag1,Median Household Income_lag1,Poverty Rate_lag1,Labor Force_lag1,pct_change_total_homeless_per_10k
CA-512,san mateo county,2015,0,0,0,0,736800.0,1574.0,1950.0,0.4839456724974136,28.0,0.0,0.41,4.3,101051.0,7.3,425863.0,-0.08186008743755002
CA-512,san mateo county,2016,0,0,0,0,776300.0,1647.0,1990.0,0.4896837866571329,25.0,0.0,0.41,3.4,101272.0,8.5,434234.0,-0.08724576419749341
CA-512,san mateo county,2017,0,0,0,0,845300.0,1744.0,2079.0,0.4817561359758499,26.0,0.0,0.41,3.1,108627.0,6.5,441792.0,-0.009576771448320587
CA-512,san mateo county,2018,0,0,0,0,917700.0,1879.0,2219.0,0.4766215036623781,30.0,0.23,0.4,2.7,116653.0,6.2,444909.0,0.2260597876051107
CA-514,fresno county,2013,0,0,1,0,212100.0,731.0,1014.0,0.5433736130862301,62.0,0.0,0.46,15.4,41627.0,28.4,439492.0,-0.18132120676430707
CA-514,fresno county,2014,0,0,1,0,195400.0,748.0,1006.0,0.5454151829372988,64.0,0.0,0.46,13.4,43925.0,28.8,436620.0,-0.34170449352190646
CA-514,fresno county,2015,0,0,1,0,191700.0,753.0,1003.0,0.5505205635364759,62.0,0.0,0.47,11.7,43423.0,27.7,437617.0,0.08785613104239309
CA-514,fresno county,2016,0,0,1,0,194600.0,752.0,992.0,0.5503357624561077,52.0,0.0,0.47,10.3,46949.0,25.3,440308.0,0.060523653797601495
CA-514,fresno county,2017,0,0,1,0,204900.0,765.0,996.0,0.5546477863164334,46.0,0.0,0.47,9.5,48715.0,25.6,444737.0,0.05798958293427359
CA-514,fresno county,2018,0,0,1,0,220600.0,780.0,1029.0,0.5410405928516531,39.0,0.21,0.47,8.6,51800.0,21.1,444452.0,0.16427205371061393
CA-600,los angeles county,2013,0,0,1,0,443300.0,1098.0,1407.0,0.5586250427683196,45.0,0.0,0.53,11.0,53001.0,19.1,4904883.0,-0.04137282975616796
CA-600,los angeles county,2014,0,0,1,0,420200.0,1110.0,1408.0,0.5640724427719008,44.0,0.0,0.53,9.8,54529.0,18.9,4955806.0,0.19085439715073726
CA-600,los angeles county,2015,0,0,1,0,425100.0,1129.0,1412.0,0.5696558364912717,41.0,0.0,0.54,8.2,55746.0,18.7,4982412.0,0.0684911481444237
CA-600,los angeles county,2016,0,0,1,0,441900.0,1139.0,1409.0,0.5686244817631679,37.0,0.0,0.54,6.7,59134.0,16.6,4973756.0,0.19282048503850158
CA-600,los angeles county,2017,0,0,1,0,465000.0,1167.0,1433.0,0.5648990135608036,33.0,0.0,0.54,5.3,61338.0,16.3,5018920.0,-0.04195760500878987
CA-600,los angeles county,2018,0,0,1,0,495800.0,1210.0,1482.0,0.561129079,32.0,0.26,0.54,4.8,65006.0,14.9,5109810.0,0.13360330265289533
CA-601,san diego county,2013,0,0,1,0,419400.0,1210.0,1547.0,0.5484554771591904,50.0,0.0,0.45,9.3,60330.0,15.0,1536925.0,-0.05732655012251897
CA-601,san diego county,2014,0,0,1,0,402100.0,1219.0,1539.0,0.5501386814593556,47.0,0.0,0.46,7.9,61426.0,15.2,1537644.0,0.016503695011216957
CA-601,san diego county,2015,0,0,1,0,412800.0,1241.0,1542.0,0.544189838,45.0,0.0,0.47,6.5,66192.0,14.7,1537512.0,-0.013798700056195656
CA-601,san diego county,2016,0,0,1,0,429600.0,1255.0,1534.0,0.5407879971577121,41.0,0.0,0.47,5.2,67320.0,13.8,1548794.0,0.050327292586295425
CA-601,san diego county,2017,0,0,1,0,454600.0,1307.0,1578.0,0.5405882725175601,38.0,0.0,0.47,4.7,70824.0,12.3,1563246.0,-0.06534575282696875
CA-601,san diego county,2018,0,0,1,0,484900.0,1381.0,1645.0,0.5421043063940527,36.0,0.24,0.47,4.0,76207.0,11.8,1570791.0,-0.05384592739885896
CA-602,orange county,2013,0,0,0,0,537600.0,1398.0,1742.0,0.5432942320670081,47.0,0.0,0.41,8.0,71983.0,12.9,1558477.0,-0.1072596079549143
CA-602,orange county,2014,0,0,0,0,519600.0,1413.0,1736.0,0.5481882595523049,45.0,0.0,0.41,6.7,74163.0,13.5,1559480.0,0.15260241215957548
CA-602,orange county,2015,0,0,0,0,532300.0,1435.0,1735.0,0.5548135582706453,40.0,0.0,0.42,5.6,76306.0,12.8,1565446.0,-0.03071696866658402
CA-602,orange county,2016,0,0,0,0,553600.0,1455.0,1735.0,0.5521322465718793,35.0,0.0,0.42,4.5,78428.0,12.7,1584296.0,0.10330218950437775
CA-602,orange county,2017,0,0,0,0,584200.0,1499.0,1762.0,0.5517903312468715,33.0,0.0,0.43,4.1,81837.0,11.0,1597447.0,0.035453443315550004
CA-602,orange county,2018,0,0,0,0,620500.0,1592.0,1828.0,0.5498103912470642,32.0,0.21,0.43,3.5,86217.0,11.5,1605787.0,0.38894001917260757
CA-603,santa barbara county,2013,0,0,0,0,482400.0,1239.0,1491.0,0.5423500371026608,37.0,0.0,0.47,8.5,61890.0,16.3,215485.0,-0.03754838550731998
CA-603,santa barbara county,2014,0,0,0,0,453000.0,1242.0,1485.0,0.5466406517627084,33.0,0.0,0.47,7.3,62421.0,16.3,216531.0,-0.064924821727536
CA-603,santa barbara county,2015,0,0,0,0,446500.0,1267.0,1488.0,0.5461847389558233,36.0,0.0,0.48,6.2,63833.0,18.0,217331.0,0.04529038376922645
CA-603,santa barbara county,2016,0,0,0,0,465300.0,1278.0,1479.0,0.5482879207343727,32.0,0.0,0.48,5.3,63625.0,15.7,217158.0,0.02139118354989944
CA-603,santa barbara county,2017,0,0,0,0,480000.0,1333.0,1507.0,0.5542842984361108,30.0,0.0,0.48,5.1,67436.0,13.9,215256.0,-0.07946191937580083
CA-603,santa barbara county,2018,0,0,0,0,509400.0,1397.0,1569.0,0.5499876286259042,30.0,0.24,0.48,4.6,71106.0,14.5,214948.0,0.056924423401322866
CA-604,kern county,2013,0,0,1,0,171200.0,722.0,1009.0,0.5272070401174641,61.0,0.0,0.41,13.4,45910.0,23.8,391269.0,-0.14919261758634317
CA-604,kern county,2014,0,0,1,0,161700.0,738.0,1005.0,0.52114688,60.0,0.0,0.42,11.9,46879.0,22.8,392205.0,-0.046577328344544866
CA-604,kern county,2015,0,0,1,0,161800.0,746.0,999.0,0.5176761501046168,56.0,0.0,0.43,10.5,47644.0,24.8,391896.0,0.11514684316850499
CA-604,kern county,2016,0,0,1,0,167400.0,741.0,988.0,0.5105929380413058,56.0,0.0,0.43,10.3,51342.0,21.9,390138.0,-0.24794345573294552
CA-604,kern county,2017,0,0,1,0,175600.0,755.0,999.0,0.5101213858512935,56.0,0.0,0.43,10.4,49903.0,22.7,388109.0,0.08815162484879457
CA-604,kern county,2018,0,0,1,0,190600.0,774.0,1021.0,0.5075068985885444,53.0,0.2,0.43,9.3,49854.0,21.4,384073.0,0.4970853559799646
CA-608,riverside county,2013,0,0,0,0,248100.0,1019.0,1427.0,0.5788141342305714,76.0,0.0,0.32,11.8,52621.0,17.8,985244.0,-0.026689840753517657
