CoC Number,County,Year,SSDI Participation Rate (Percent),Unemployment Rate,HPI with 2000 base,HPI,Year,Estimate Total Asian alone,Share_of_Single_Person_Households_1_year,Share_of_Single_Person_Households_5_year,Median_House_Values_1_year,Total Civilian Noninstitutionalized Population Estimate Population Age 16 and Over,Blind and disabled,Overall Homeless - Multiple Races,CoC_Category_Largely Rural CoC,CoC_Category_Largely Suburban CoC,CoC_Category_Major City CoC,CoC_Category_Other Largely Urban CoC,total_homeless_per_10k_lag1,total_sheltered_homeless_per_10k_lag1,unsheltered_homeless_per_10k_lag1,Median_House_Values_5_year_lag1,Median_Rent_5_year_lag1,Median_Gross_Rent_5_year_lag1,Percentage_of_Households_with_Cost_Burden_5_year_lag1,Rental_Vacancy_Rates_5_year_lag1,Share_of_Single_Person_Households_5_year_lag1,Share_of_Renter_Occupied_Units_5_year_lag1,Unemployment Rate_lag1,Median Household Income_lag1,Poverty Rate_lag1,Labor Force_lag1,pct_change_total_homeless_per_10k,target_class
CA-510,stanislaus county,2013,2.7993819659039616,13.1,118.95,536.83,2013,0.06,0.0,0.0,175000.0,780155.0,22795.0,0,0,1,0,0,22.85481578181168,10.580580828215895,12.27423495359578,192200.0,824.0,1165.0,0.5534631907255929,58.0,0.0,0.41,15.1,46405.0,20.3,241659.0,-0.04923994793112929,0
CA-510,stanislaus county,2014,3.642828072996382,11.3,146.55,661.38,2014,0.06,0.0,0.0,216000.0,400513.0,18702.0,0,0,1,0,0,21.72944584273972,13.402331216153474,8.327114627,172900.0,825.0,1137.0,0.5506518410395111,63.0,0.0,0.42,13.1,47962.0,22.1,240268.0,0.20353474512779135,1
CA-510,stanislaus county,2015,3.575989468026882,9.6,157.42,710.45,2015,0.06,0.0,0.0,243500.0,405622.0,18501.0,3,0,1,0,0,26.152143064109897,13.46612480218727,12.686018261922628,175400.0,826.0,1126.0,0.5483525947327481,53.0,0.0,0.43,11.3,51084.0,18.0,240222.0,0.012500598019861808,1
CA-510,stanislaus county,2016,3.4995067315196104,8.6,172.08,776.58,2016,0.06,0.0,0.0,274300.0,407486.0,18196.0,154,0,1,0,0,26.479060491912254,12.999482975108943,13.479577516803309,190800.0,825.0,1103.0,0.5437044318833456,47.0,0.0,0.43,9.6,52363.0,19.7,240986.0,0.1448973572771839,1
CA-510,stanislaus county,2017,3.335569153431338,7.5,186.14,840.02,2017,0.05,0.2,0.2,288200.0,412973.0,17772.0,57,0,1,0,0,30.315806380373026,15.331292811266309,14.984513569106714,216000.0,838.0,1113.0,0.5374831035414978,41.0,0.0,0.43,8.6,54305.0,14.2,242737.0,-0.186469235618266,0
CA-510,stanislaus county,2018,3.2245421078069505,6.5,201.71,910.31,2018,0.05,0.21,0.21,318900.0,415873.0,17537.0,56,0,1,0,0,24.662841137473517,13.640951956567209,11.021889180906305,244100.0,864.0,1140.0,0.5256344004134142,37.0,0.2,0.43,7.5,59514.0,13.5,241971.0,0.41596542314950136,1
CA-511,san joaquin county,2013,3.3293123320720555,12.5,114.35,518.08,2013,0.14,0.0,0.0,208900.0,521429.0,24675.0,0,0,1,0,0,21.87742678302448,18.143641420314918,3.733785362709564,225400.0,862.0,1264.0,0.5522984295590861,56.0,0.0,0.41,14.6,50722.0,18.4,311393.0,0.014345128548507224,1
CA-511,san joaquin county,2014,3.296998931414897,10.7,138.15,625.93,2014,0.15,0.0,0.0,250800.0,531544.0,24717.0,0,0,1,0,0,22.19126128253752,18.51600831194094,3.675252970596578,208000.0,872.0,1234.0,0.5488579597921742,63.0,0.0,0.42,12.5,51432.0,19.9,312140.0,0.05999997252519296,1
CA-511,san joaquin county,2015,3.200099176245069,8.9,147.68,669.11,2015,0.15,0.0,0.0,278400.0,540452.0,24511.0,93,0,1,0,0,23.52273634978915,16.154666123128028,7.368070227,211300.0,868.0,1211.0,0.5454729679284122,59.0,0.0,0.43,10.7,51659.0,20.9,311543.0,0.03135532457793144,1
CA-511,san joaquin county,2016,3.074810654474544,8.2,161.7,732.62,2016,0.15,0.0,0.0,316000.0,547676.0,23951.0,118,0,1,0,0,24.260299382997893,16.96858018642268,7.291719196575208,223000.0,864.0,1190.0,0.5421009411913335,54.0,0.0,0.43,8.9,53705.0,17.4,314401.0,-0.14732241522267042,0
CA-511,san joaquin county,2017,2.9511910099411383,7.0,176.21,798.34,2017,0.15,0.22,0.2,349200.0,555369.0,23617.0,78,0,1,0,0,20.686213483869583,13.079804245637382,7.606409238232201,246900.0,877.0,1200.0,0.5340891743081918,46.0,0.0,0.44,8.2,59518.0,14.4,318316.0,0.08223124122201031,1
CA-511,san joaquin county,2018,2.8287697750722134,6.1,190.6,863.56,2018,0.16,0.2,0.2,366000.0,560491.0,23092.0,94,0,1,0,0,22.387266494831664,14.853984534849731,7.533281959981931,281100.0,902.0,1236.0,0.5280093667359751,45.0,0.2,0.44,7.0,61164.0,15.5,322951.0,0.5419861207825722,1
CA-512,san mateo county,2013,2.7993819659039616,5.3,151.36,1385.55,2013,0.27,0.0,0.0,748300.0,780155.0,22795.0,0,0,1,0,0,26.69349842715752,9.312619000151196,17.380879427006327,734100.0,1452.0,1891.0,0.4774136318494306,34.0,0.0,0.4,6.5,81609.0,8.4,410898.0,-0.00045338774411796123,0
